correccion_deseada,transcripcion_erronea
¿Cuándo se emite la próxima factura?,¿Cuándo se emite la próxima fatura?
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
¿Cuándo se emite la próxima factura?,¿Cuándo se emite la próxima fatura?
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
El internet se desconecta constantemente.,El internet se desconesta constantemente.
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
El router no funciona correctamente.,El ruto no funciona correctamente.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
Quisiera reducir el costo de mi plan actual.,Quisiera reducir el costo de mi plan actal.
El internet se desconecta constantemente.,El internet se desconesta constantemente.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
Quisiera reducir el costo de mi plan actual.,Quisiera reducir el costo de mi plan actal.
La razón social está incorrecta.,La razón sosial está incorrecta.
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
El router no funciona correctamente.,El ruto no funciona correctamente.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
El router no funciona correctamente.,El ruto no funciona correctamente.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Puedo obtener un descuento en mi plan?,¿Puedo obtener un descueto en mi plan?
Necesito un comprobante de pago.,Necesito un compobante de pago.
La velocidad de conexión es muy baja.,La velosidad de conexión es muy baja.
El internet se desconecta constantemente.,El internet se desconesta constantemente.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
La razón social está incorrecta.,La razón sosial está incorrecta.
Quisiera reducir el costo de mi plan actual.,Quisiera reducir el costo de mi plan actal.
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
La razón social está incorrecta.,La razón sosial está incorrecta.
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
El router no funciona correctamente.,El ruto no funciona correctamente.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Recomendaría nuestro servicio a otros?,¿Recomendaría nuestro servisio a otros?
El internet se desconecta constantemente.,El internet se desconesta constantemente.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
El router no funciona correctamente.,El ruto no funciona correctamente.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
Necesito un comprobante de pago.,Necesito un compobante de pago.
La velocidad de conexión es muy baja.,La velosidad de conexión es muy baja.
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
¿Recomendaría nuestro servicio a otros?,¿Recomendaría nuestro servisio a otros?
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
Quisiera reducir el costo de mi plan actual.,Quisiera reducir el costo de mi plan actal.
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
El router no funciona correctamente.,El ruto no funciona correctamente.
La razón social está incorrecta.,La razón sosial está incorrecta.
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
La señal de televisión se pixela.,La señal de televisión se picela.
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
El router no funciona correctamente.,El ruto no funciona correctamente.
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
La velocidad de conexión es muy baja.,La velosidad de conexión es muy baja.
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
Quiero contratar un plan adicional.,Quiero contratar un plan adisional.
La velocidad de conexión es muy baja.,La velosidad de conexión es muy baja.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
No reconozco este cargo en mi cuenta.,No reconozco este cargo en mi cuanta.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
La señal de televisión se pixela.,La señal de televisión se picela.
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
Necesito un comprobante de pago.,Necesito un compobante de pago.
¿Cuándo se emite la próxima factura?,¿Cuándo se emite la próxima fatura?
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
¿Puedo obtener un descuento en mi plan?,¿Puedo obtener un descueto en mi plan?
¿Cuándo se emite la próxima factura?,¿Cuándo se emite la próxima fatura?
No reconozco este cargo en mi cuenta.,No reconozco este cargo en mi cuanta.
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
La velocidad de conexión es muy baja.,La velosidad de conexión es muy baja.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
La razón social está incorrecta.,La razón sosial está incorrecta.
¿Cuándo se emite la próxima factura?,¿Cuándo se emite la próxima fatura?
No reconozco este cargo en mi cuenta.,No reconozco este cargo en mi cuanta.
Necesito un comprobante de pago.,Necesito un compobante de pago.
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
El router no funciona correctamente.,El ruto no funciona correctamente.
¿Cuándo se emite la próxima factura?,¿Cuándo se emite la próxima fatura?
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Recomendaría nuestro servicio a otros?,¿Recomendaría nuestro servisio a otros?
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
La señal de televisión se pixela.,La señal de televisión se picela.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
La razón social está incorrecta.,La razón sosial está incorrecta.
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
Quisiera reducir el costo de mi plan actual.,Quisiera reducir el costo de mi plan actal.
¿Puedo obtener un descuento en mi plan?,¿Puedo obtener un descueto en mi plan?
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
La señal de televisión se pixela.,La señal de televisión se picela.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
Necesito un comprobante de pago.,Necesito un compobante de pago.
¿Puedo obtener un descuento en mi plan?,¿Puedo obtener un descueto en mi plan?
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Recomendaría nuestro servicio a otros?,¿Recomendaría nuestro servisio a otros?
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
El router no funciona correctamente.,El ruto no funciona correctamente.
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
Necesito un plan con más canales de TV.,Necesito un plan con más canales de tevé.
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
Necesito un comprobante de pago.,Necesito un compobante de pago.
¿Cuáles son los planes disponibles?,¿Cuáles son los planes dispobibles?
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
Necesito un comprobante de pago.,Necesito un compobante de pago.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
¿Recomendaría nuestro servicio a otros?,¿Recomendaría nuestro servisio a otros?
¿Puedo cambiar mi plan de internet?,¿Puedo cambiar mi plan de interne?
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
Necesito un comprobante de pago.,Necesito un compobante de pago.
Su opinión es muy importante para nosotros.,Su opinión es muy importante para nosostros.
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
Quisiera reducir el costo de mi plan actual.,Quisiera reducir el costo de mi plan actal.
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
La razón social está incorrecta.,La razón sosial está incorrecta.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Quisiera un plan con más velocidad.,Quisiera un plan con más velosidad.
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
No reconozco este cargo en mi cuenta.,No reconozco este cargo en mi cuanta.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
¿Qué podemos mejorar en nuestro servicio?,¿Qué podemos mejorar en nuestro servisio?
¿Pueden ofrecerme una mejor oferta?,¿Pueden ofrecerme una mejor ofreta?
Gracias por participar en nuestra encuesta.,Gracias por participar en nuestra encuenta.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
El internet se desconecta constantemente.,El internet se desconesta constantemente.
¿Puedo cambiar la fecha de pago?,¿Puedo cambiar la facha de pago?
El internet se desconecta constantemente.,El internet se desconesta constantemente.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
Quiero cambiar la razón social del contrato.,Quiero cambiar la razón sosial del contrato.
Necesito soporte técnico urgente.,Necesito soporte ténico urgente.
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
¿Cómo calificaría nuestro servicio?,¿Cómo calificaría nuestro servisio?
Estoy interesado en un plan de internet y TV.,Estoy interesado en un plan de internet y tevé.
¿Recomendaría nuestro servicio a otros?,¿Recomendaría nuestro servisio a otros?
